epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,44.6682,1.27225,2.39858,1.54318,0.89087,0.54536,0.61492,0.4347,1.10318,1.68761,1.39002,0.000550165,0.000550165,0.000550165
2,68.7891,1.20888,0.90389,1.43712,0.44085,0.68966,0.51776,0.3463,1.2141,1.73661,1.529,0.00109853,0.00109853,0.00109853
3,89.9597,1.20605,0.899,1.42118,0.78992,0.53821,0.55149,0.38895,nan,nan,nan,0.00163957,0.00163957,0.00163957
4,111.409,1.18001,0.78596,1.40578,0.79617,0.74268,0.91574,0.61805,1.13991,1.85474,1.32245,0.00163399,0.00163399,0.00163399
5,132.965,1.18589,0.80117,1.40482,0.79089,0.95012,0.86602,0.5607,1.18117,0.78792,1.34201,0.00162299,0.00162299,0.00162299
6,154.467,1.14497,0.76006,1.36924,0.95394,0.92512,0.9564,0.64744,1.20237,0.71775,1.36072,0.00161199,0.00161199,0.00161199
7,176.266,1.14435,0.72807,1.35397,0.98785,0.98471,0.99485,0.63558,1.08652,0.66436,1.22889,0.00160099,0.00160099,0.00160099
8,198.025,1.12685,0.70459,1.35869,0.85844,0.9814,0.96549,0.7426,0.87705,1.044,1.12452,0.00158998,0.00158998,0.00158998
9,220.242,1.09633,0.67646,1.32664,0.94973,0.99336,0.99046,0.62641,1.26438,0.58883,1.36859,0.00157898,0.00157898,0.00157898
10,242.252,1.10753,0.67505,1.34121,0.97157,0.99336,0.99297,0.70719,1.0623,0.6056,1.22397,0.00156798,0.00156798,0.00156798
11,264.379,1.06945,0.62545,1.30944,0.98757,0.94791,0.96014,0.71184,0.89443,0.48316,1.10159,0.00155698,0.00155698,0.00155698
12,286.435,1.08178,0.63936,1.30237,0.98317,0.93463,0.94806,0.60908,1.21786,0.55631,1.30797,0.00154598,0.00154598,0.00154598
13,308.459,1.07241,0.61769,1.2994,0.99769,0.96185,0.99489,0.68008,1.02822,0.49709,1.1712,0.00153497,0.00153497,0.00153497
14,330.582,1.03147,0.58904,1.27898,0.98784,0.95012,0.96872,0.6919,1.07881,0.5371,1.22394,0.00152397,0.00152397,0.00152397
15,352.969,1.06338,0.60573,1.29249,0.98013,0.92792,0.94933,0.66168,1.12655,0.49087,1.24234,0.00151297,0.00151297,0.00151297
16,375.917,1.04738,0.59749,1.28893,0.98457,0.95012,0.95384,0.63551,1.00677,0.45707,1.16108,0.00150197,0.00150197,0.00150197
17,398.975,1.03108,0.57849,1.27315,0.94601,0.95076,0.92211,0.61572,1.12798,0.50831,1.23229,0.00149096,0.00149096,0.00149096
18,421.95,1.0522,0.58151,1.28684,0.99289,0.95227,0.95538,0.69352,0.92161,0.4456,1.11621,0.00147996,0.00147996,0.00147996
19,445.058,1.0208,0.57571,1.2687,0.98684,0.97849,0.99469,0.67224,1.05894,0.45863,1.21343,0.00146896,0.00146896,0.00146896
20,468.442,1.01467,0.56702,1.26471,0.99249,0.99993,0.99496,0.67031,1.12585,0.45593,1.22957,0.00145796,0.00145796,0.00145796
21,491.731,1.0374,0.56984,1.27026,0.98599,0.98922,0.99487,0.69103,1.04883,0.53788,1.1891,0.00144696,0.00144696,0.00144696
22,515.211,1.02603,0.5542,1.2804,0.98602,0.9457,0.96687,0.60771,1.22316,0.47861,1.27402,0.00143595,0.00143595,0.00143595
23,538.965,1.01469,0.55723,1.26647,0.93912,1,0.9909,0.69311,1.00329,0.49964,1.14631,0.00142495,0.00142495,0.00142495
24,562.703,1.01466,0.53015,1.26417,0.95715,0.9867,0.99125,0.68441,1.09541,0.43355,1.19716,0.00141395,0.00141395,0.00141395
25,587.011,0.99681,0.54058,1.25119,0.98876,0.95233,0.99118,0.67933,0.97648,0.46015,1.13594,0.00140295,0.00140295,0.00140295
26,610.938,0.96364,0.51402,1.22621,0.99727,0.98812,0.99498,0.71789,0.9527,0.40164,1.11582,0.00139195,0.00139195,0.00139195
27,634.692,0.98159,0.53038,1.23718,0.99096,0.99779,0.995,0.67661,1.024,0.44413,1.15608,0.00138094,0.00138094,0.00138094
28,661.509,0.95838,0.51722,1.2237,0.99514,0.99558,0.995,0.65442,1.15882,0.47022,1.24946,0.00136994,0.00136994,0.00136994
29,686.989,0.9852,0.51868,1.24363,0.98342,0.94211,0.95235,0.67917,1.07873,0.42933,1.18641,0.00135894,0.00135894,0.00135894
30,710.798,0.9754,0.51844,1.24208,0.99576,0.95297,0.95219,0.68583,1.07669,0.43609,1.17248,0.00134794,0.00134794,0.00134794
31,736.571,0.97542,0.5167,1.23581,0.98589,1,0.995,0.72259,0.95625,0.42253,1.10963,0.00133693,0.00133693,0.00133693
32,762.356,0.98479,0.5273,1.25021,0.94255,0.95233,0.95272,0.63208,1.1956,0.48969,1.24911,0.00132593,0.00132593,0.00132593
33,787.196,0.97298,0.52951,1.22536,0.99238,0.99835,0.995,0.6898,1.14767,0.43989,1.21646,0.00131493,0.00131493,0.00131493
34,813.084,0.94749,0.52157,1.22248,0.99174,0.95361,0.99123,0.68505,0.99922,0.3959,1.14953,0.00130393,0.00130393,0.00130393
35,837.637,0.94805,0.5114,1.2296,0.98893,0.95357,0.95569,0.66766,0.90957,0.40309,1.10727,0.00129293,0.00129293,0.00129293
36,863.243,0.91736,0.4962,1.20096,0.98544,0.95455,0.98808,0.74678,0.8116,0.38956,1.05028,0.00128192,0.00128192,0.00128192
37,887.39,0.90119,0.48624,1.19661,0.98307,0.9983,0.99392,0.73496,0.69342,0.38307,1.0069,0.00127092,0.00127092,0.00127092
38,915.408,0.90208,0.48933,1.19636,0.98276,0.95455,0.9601,0.69115,0.81494,0.37199,1.06125,0.00125992,0.00125992,0.00125992
39,940.484,0.89105,0.47461,1.18394,0.99212,0.95132,0.98534,0.72065,0.81047,0.35685,1.03526,0.00124892,0.00124892,0.00124892
40,967.341,0.8732,0.47309,1.18321,0.99288,0.99779,0.99436,0.75311,0.81159,0.35867,1.05028,0.00123791,0.00123791,0.00123791
41,995.277,0.86555,0.47259,1.16795,0.99025,0.95108,0.95188,0.72173,0.68224,0.34869,0.98841,0.00122691,0.00122691,0.00122691
42,1021.17,0.86648,0.46802,1.17286,0.99373,0.95233,0.98808,0.75391,0.69373,0.32722,1.00429,0.00121591,0.00121591,0.00121591
43,1045.54,0.86965,0.46367,1.18524,0.99605,0.94753,0.97357,0.71896,0.79104,0.3678,1.04012,0.00120491,0.00120491,0.00120491
44,1071.84,0.86808,0.46638,1.16984,0.99255,0.95442,0.95447,0.63227,0.94201,0.40671,1.10709,0.00119391,0.00119391,0.00119391
45,1098.57,0.85349,0.45594,1.16048,0.98564,0.95455,0.95052,0.72789,0.75927,0.35072,1.01394,0.0011829,0.0011829,0.0011829
46,1125.44,0.84937,0.45711,1.16249,0.99067,0.95284,0.97357,0.68758,0.87134,0.3419,1.05757,0.0011719,0.0011719,0.0011719
47,1154.47,0.84809,0.44814,1.15924,0.98774,0.99779,0.99498,0.70371,0.99558,0.38149,1.1434,0.0011609,0.0011609,0.0011609
48,1182.19,0.85351,0.44768,1.1648,0.97587,0.95012,0.95111,0.70754,0.75952,0.35732,1.01218,0.0011499,0.0011499,0.0011499
49,1210.42,0.83175,0.45075,1.14829,0.9453,1,0.99125,0.75186,0.80725,0.3357,1.0401,0.00113889,0.00113889,0.00113889
50,1242.19,0.81532,0.44632,1.14199,0.9872,0.99779,0.995,0.78483,0.61283,0.30735,0.94796,0.00112789,0.00112789,0.00112789
51,1272.46,0.82176,0.43142,1.14674,0.99112,0.94914,0.95364,0.68008,0.89449,0.3664,1.06372,0.00111689,0.00111689,0.00111689
52,1296.7,0.80137,0.42937,1.13247,0.98927,0.99145,0.99496,0.73141,0.61237,0.30757,0.94212,0.00110589,0.00110589,0.00110589
53,1320.68,0.82436,0.44043,1.13516,0.99223,0.94998,0.98529,0.78313,0.4988,0.27837,0.90818,0.00109489,0.00109489,0.00109489
54,1343.79,0.81763,0.42721,1.14038,0.99511,1,0.995,0.74476,0.83771,0.33915,1.05028,0.00108388,0.00108388,0.00108388
55,1367,0.79609,0.42804,1.13353,0.99624,0.95053,0.97605,0.73402,0.69096,0.32774,0.98364,0.00107288,0.00107288,0.00107288
56,1390.06,0.80573,0.43827,1.14078,0.99116,1,0.995,0.76142,0.69267,0.32044,0.98767,0.00106188,0.00106188,0.00106188
57,1413.1,0.80072,0.42945,1.13644,0.94862,1,0.99125,0.74958,0.87772,0.33832,1.10496,0.00105088,0.00105088,0.00105088
58,1436.14,0.79654,0.42523,1.13068,0.98381,0.95425,0.95085,0.72731,0.69193,0.32417,0.99029,0.00103987,0.00103987,0.00103987
59,1459.15,0.77274,0.41808,1.12028,0.99541,0.95455,0.95039,0.71969,0.72381,0.31136,1.00643,0.00102887,0.00102887,0.00102887
60,1482.28,0.77873,0.42186,1.12803,0.98957,0.99454,0.995,0.72323,0.96214,0.36685,1.15678,0.00101787,0.00101787,0.00101787
61,1505.42,0.79551,0.42948,1.12796,0.98884,0.95455,0.99125,0.75698,0.6158,0.29733,0.9497,0.00100687,0.00100687,0.00100687
62,1528.64,0.77571,0.41634,1.11092,0.98882,1,0.995,0.76538,0.70302,0.29715,0.99954,0.000995866,0.000995866,0.000995866
63,1551.82,0.80377,0.42279,1.13351,0.99258,1,0.99498,0.79095,0.52929,0.28187,0.9166,0.000984864,0.000984864,0.000984864
64,1575.43,0.75955,0.40162,1.10467,0.99362,1,0.99493,0.75223,0.53083,0.27759,0.92337,0.000973861,0.000973861,0.000973861
65,1598.93,0.75516,0.40657,1.10356,0.99446,0.95455,0.99125,0.74354,0.63378,0.29821,0.96203,0.000962859,0.000962859,0.000962859
66,1623.34,0.758,0.40065,1.10211,0.98923,0.95079,0.95181,0.74656,0.60673,0.30978,0.96151,0.000951857,0.000951857,0.000951857
67,1647.87,0.75252,0.40626,1.09951,0.99011,0.95269,0.95086,0.74881,0.50342,0.28857,0.91302,0.000940855,0.000940855,0.000940855
68,1671.26,0.73416,0.3898,1.08602,0.98096,0.9517,0.95511,0.72924,0.62908,0.30222,0.94949,0.000929853,0.000929853,0.000929853
69,1695.46,0.7354,0.39339,1.09646,0.99352,1,0.99478,0.79863,0.53719,0.26355,0.92465,0.00091885,0.00091885,0.00091885
70,1718.76,0.7416,0.40018,1.08782,0.99348,0.95233,0.95884,0.78131,0.46776,0.26148,0.89898,0.000907848,0.000907848,0.000907848
71,1742.21,0.72866,0.38939,1.08546,0.99481,0.95083,0.98092,0.76234,0.61276,0.28719,0.96477,0.000896846,0.000896846,0.000896846
72,1766.18,0.74285,0.38803,1.09654,0.98955,0.95455,0.95669,0.72597,0.54505,0.26674,0.91882,0.000885844,0.000885844,0.000885844
73,1790.76,0.72764,0.38454,1.10011,0.99059,0.95391,0.95379,0.72658,0.6429,0.29877,0.96756,0.000874842,0.000874842,0.000874842
74,1815.94,0.74084,0.39175,1.08987,0.99378,0.95233,0.96093,0.74853,0.53505,0.26881,0.91763,0.000863839,0.000863839,0.000863839
75,1841.78,0.7342,0.40196,1.08156,0.99011,0.95418,0.99123,0.7573,0.5351,0.26366,0.92252,0.000852837,0.000852837,0.000852837
76,1865.95,0.72583,0.39636,1.08228,0.99269,0.95455,0.95295,0.75868,0.42292,0.25311,0.87786,0.000841835,0.000841835,0.000841835
77,1892.35,0.6999,0.37578,1.07635,0.99274,0.95455,0.97912,0.75685,0.53071,0.26283,0.92065,0.000830833,0.000830833,0.000830833
78,1917.73,0.71961,0.38876,1.08258,0.99344,0.95455,0.95434,0.75954,0.46715,0.25754,0.89015,0.000819831,0.000819831,0.000819831
79,1942.93,0.71199,0.37368,1.07933,0.99457,0.95455,0.99121,0.77169,0.46225,0.24389,0.89518,0.000808828,0.000808828,0.000808828
80,1970.53,0.69596,0.37073,1.05792,0.99325,0.95455,0.98536,0.77062,0.48053,0.24835,0.89033,0.000797826,0.000797826,0.000797826
