epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,469.73,0.60312,1.93142,1.09742,0.8075,0.6158,0.8185,0.5575,0.61547,1.9793,1.06172,0.000545377,0.000545377,0.000545377
2,901.545,0.71159,0.80116,1.10333,0.86403,0.25,0.29521,0.21167,1.35334,3.04082,2.17465,0.00109014,0.00109014,0.00109014
3,1335.71,0.7346,0.74625,1.11383,0.60948,0.45093,0.1588,0.11718,0.80674,7.09441,1.27883,0.00162391,0.00162391,0.00162391
4,1778.55,0.6936,0.64855,1.08467,0.04069,0.1986,0.04216,0.02867,1.06928,6.21711,1.47571,0.00161749,0.00161749,0.00161749
5,2315.46,0.66214,0.58731,1.0748,0.38723,0.76799,0.64698,0.50436,0.62968,1.31878,1.1008,0.00160099,0.00160099,0.00160099
6,2864.7,0.63862,0.55655,1.05884,0.96673,0.91098,0.95027,0.67037,0.67214,0.55292,1.07496,0.00158448,0.00158448,0.00158448
7,3421.53,0.62555,0.54555,1.03726,0.65788,0.78131,0.73161,0.56632,0.57025,0.69329,1.02479,0.00156798,0.00156798,0.00156798
8,4020.9,0.67538,0.65019,1.08696,0.89293,0.78703,0.82633,0.65542,0.54533,0.62401,1.01094,0.00155148,0.00155148,0.00155148
9,4536.44,0.60084,0.52205,1.02934,0.72237,0.875,0.80701,0.62027,0.52526,0.47034,0.9405,0.00153497,0.00153497,0.00153497
10,4992,0.59536,0.49484,1.04145,0.97188,0.58656,0.78108,0.63943,0.47074,0.54153,0.95196,0.00151847,0.00151847,0.00151847
11,5457.68,0.60689,0.48399,1.05591,0.98095,0.93508,0.96626,0.81016,0.46637,0.40298,0.90774,0.00150197,0.00150197,0.00150197
12,5920.85,0.59428,0.4842,1.04385,0.68664,0.94451,0.92094,0.76198,0.44547,0.469,0.92638,0.00148546,0.00148546,0.00148546
13,6419.01,0.56716,0.45367,1.02658,0.99269,0.97157,0.99428,0.79932,0.48149,0.36962,0.93297,0.00146896,0.00146896,0.00146896
14,6956.13,0.56681,0.45404,1.01721,0.98609,0.96963,0.99407,0.82938,0.4146,0.37386,0.91401,0.00145246,0.00145246,0.00145246
15,7593.92,0.54705,0.42119,1.00336,0.99092,0.95164,0.98599,0.84745,0.42563,0.42838,0.90158,0.00143595,0.00143595,0.00143595
16,8159.18,0.5429,0.43077,1.01102,0.8227,0.92033,0.90979,0.70791,0.45302,0.39721,0.92596,0.00141945,0.00141945,0.00141945
17,8597.29,0.52369,0.42111,1.00592,0.95737,0.89757,0.94102,0.77783,0.44066,0.37683,0.9085,0.00140295,0.00140295,0.00140295
18,9052.76,0.54192,0.41238,0.99073,0.99189,0.97687,0.99417,0.85229,0.4064,0.32048,0.89027,0.00138644,0.00138644,0.00138644
19,9506.53,0.52581,0.42308,1.00332,0.96053,0.96552,0.97085,0.84297,0.40199,0.35684,0.89938,0.00136994,0.00136994,0.00136994
20,9959.28,0.51941,0.39512,1.00186,0.96662,0.92007,0.95544,0.8468,0.3848,0.31659,0.88283,0.00135344,0.00135344,0.00135344
21,10412.3,0.55508,0.39677,1.03952,0.96563,0.99533,0.99369,0.86032,0.36667,0.29034,0.8737,0.00133693,0.00133693,0.00133693
22,10865.9,0.50346,0.38641,0.98757,0.78513,0.92539,0.84604,0.70192,0.39296,0.31579,0.91268,0.00132043,0.00132043,0.00132043
23,15509.2,0.52022,0.3924,1.00677,0.98428,0.98893,0.99468,0.86338,0.38163,0.27851,0.87895,0.00130393,0.00130393,0.00130393
24,15951.8,0.48381,0.37008,0.97104,0.99252,0.97806,0.9946,0.86724,0.36141,0.28781,0.86632,0.00128742,0.00128742,0.00128742
25,16402.4,0.49734,0.4401,0.97157,0.9914,0.99424,0.99493,0.89536,0.34895,0.26342,0.86204,0.00127092,0.00127092,0.00127092
26,16854.5,0.49049,0.3801,0.98176,0.99193,0.99878,0.995,0.86919,0.34248,0.25459,0.85932,0.00125442,0.00125442,0.00125442
27,17285.7,0.49681,0.37109,0.99611,0.97648,0.9707,0.9723,0.83223,0.35696,0.28561,0.8684,0.00123791,0.00123791,0.00123791
28,17738.5,0.51449,0.39183,0.99412,0.98341,0.9691,0.9778,0.85053,0.3557,0.28527,0.8736,0.00122141,0.00122141,0.00122141
29,18195.5,0.4778,0.37089,0.96565,0.98045,0.99281,0.99493,0.83737,0.3609,0.29908,0.89022,0.00120491,0.00120491,0.00120491
30,18631.6,0.47351,0.35914,0.9774,0.96447,0.76356,0.88708,0.78374,0.34308,0.34319,0.87133,0.0011884,0.0011884,0.0011884
31,19088.2,0.47745,0.35061,0.98309,0.97986,0.97363,0.98106,0.87531,0.31815,0.26032,0.85912,0.0011719,0.0011719,0.0011719
32,19544.1,0.48534,0.36375,0.98557,0.98353,0.97294,0.98713,0.86943,0.34473,0.24671,0.86249,0.0011554,0.0011554,0.0011554
33,19982.2,0.4758,0.43878,0.95665,0.99665,0.95631,0.99167,0.89138,0.36173,0.25675,0.86963,0.00113889,0.00113889,0.00113889
34,20426.2,0.50046,0.48155,0.9866,0.98528,0.96956,0.99372,0.85657,0.31369,0.24588,0.85744,0.00112239,0.00112239,0.00112239
35,20877.2,0.45471,0.34873,0.96404,0.96683,0.97266,0.9885,0.8789,0.33226,0.27572,0.85652,0.00110589,0.00110589,0.00110589
36,21332,0.44814,0.33644,0.95853,0.97919,0.975,0.99083,0.87839,0.33296,0.23038,0.85816,0.00108938,0.00108938,0.00108938
37,21784.3,0.47745,0.38845,0.98021,0.98429,0.97494,0.99268,0.87677,0.33168,0.2254,0.84939,0.00107288,0.00107288,0.00107288
38,22237.8,0.43873,0.31722,0.9604,0.99492,0.99743,0.995,0.88552,0.34377,0.23648,0.85304,0.00105638,0.00105638,0.00105638
